Rating	K-D (+/-)	Entry (+/-)	Maps	KOST	KPR	SRV	1vX	Plants	Disable	HS%	Atk	Def
Flag of USA Gryxr	1.33	100-59 (+41)	18-11 (+7)	8	69%	1.05	38%	2	0	1	61%	ZofiaZofia	AruniAruni
Flag of USA Hotancold	1.23	93-68 (+25)	14-10 (+4)	8	66%	0.99	28%	3	1	0	62%	SledgeSledge	MelusiMelusi
Flag of USA Ecl9pse	1.17	82-63 (+19)	10-9 (+1)	8	71%	0.86	34%	2	2	2	68%	NomadNomad	MelusiMelusi
Flag of USA Shuttle	1.16	71-51 (+20)	7-4 (+3)	8	72%	0.81	42%	1	0	0	45%	LionLion	PulsePulse
Flag of USA Fultz	1.14	88-72 (+16)	29-9 (+20)	8	71%	0.89	27%	0	0	1	67%	AshAsh	SmokeSmoke
Flag of Brazil Kyno	1.14	84-65 (+19)	10-9 (+1)	8	67%	0.85	34%	0	4	1	56%	AceAce	SmokeSmoke
Flag of USA Achieved	1.14	74-51 (+23)	8-8 (+0)	8	65%	0.81	44%	3	0	0	52%	SledgeSledge	MelusiMelusi
Flag of USA Rampy	1.12	85-74 (+11)	23-6 (+17)	8	72%	0.86	25%	0	1	0	65%	SledgeSledge	JägerJäger
Flag of USA Yeti	1.12	78-66 (+12)	9-8 (+1)	8	71%	0.82	31%	0	3	0	60%	MaverickMaverick	MelusiMelusi
Flag of USA VertcL	1.10	77-68 (+9)	15-15 (+0)	8	75%	0.78	31%	0	0	2	58%	IanaIana	JägerJäger
Flag of USA Iconic	1.07	70-60 (+10)	5-13 (-8)	8	63%	0.80	32%	3	0	0	48%	AshAsh	JägerJäger
Flag of USA J9O	1.07	70-59 (+11)	9-9 (+0)	8	61%	0.80	33%	2	1	0	49%	AceAce	SmokeSmoke
Flag of USA LaXInG	1.06	75-59 (+16)	10-4 (+6)	8	61%	0.76	40%	0	1	0	53%	ZeroZero	GoyoGoyo
Flag of USA ThinkingNade	1.05	68-58 (+10)	2-9 (-7)	8	69%	0.69	41%	2	3	1	63%	NomadNomad	MuteMute
Flag of USA Rexen	1.04	66-66 (+0)	13-11 (+2)	8	73%	0.69	31%	1	0	0	47%	AshAsh	JägerJäger
Flag of USA njr	1.04	73-65 (+8)	13-15 (-2)	8	64%	0.77	32%	3	0	1	57%	IanaIana	JägerJäger
Flag of USA Tomas	1.04	79-73 (+6)	12-11 (+1)	8	65%	0.85	22%	0	2	0	62%	ZofiaZofia	SmokeSmoke
Flag of USA Merc	1.04	71-65 (+6)	14-14 (+0)	8	66%	0.78	29%	1	1	0	56%	AshAsh	JägerJäger
Flag of USA Creators	1.02	75-71 (+4)	11-15 (-4)	8	63%	0.81	24%	1	2	1	58%	AshAsh	MelusiMelusi
Flag of USA Hyper	1.02	71-70 (+1)	10-12 (-2)	8	67%	0.75	26%	0	0	0	55%	AshAsh	JägerJäger
Flag of USA Chala	1.02	62-56 (+6)	7-2 (+5)	8	67%	0.68	38%	2	1	0	70%	NomadNomad	SmokeSmoke
Flag of USA Benjimoola	1.01	73-68 (+5)	11-11 (+0)	8	64%	0.78	28%	0	0	0	50%	ZofiaZofia	JägerJäger
