Rating	K-D (+/-)	Entry (+/-)	Maps	KOST	KPR	SRV	1vX	Plants	Disable	HS%	Atk	Def
Flag of Brazil GMZ	0.93	65-71 (-6)	9-13 (-4)	9	61%	0.68	26%	1	0	1	51%	IanaIana	MelusiMelusi
Flag of USA Yeti	0.93	65-70 (-5)	11-11 (+0)	9	57%	0.73	21%	1	0	0	61%	MaverickMaverick	WamaiWamai
Flag of USA Razorr	0.92	42-47 (-5)	10-8 (+2)	6	55%	0.72	19%	1	1	0	62%	IanaIana	ValkyrieValkyrie
Flag of USA Achieved	0.92	64-73 (-9)	10-6 (+4)	9	61%	0.65	26%	1	0	1	52%	SledgeSledge	MuteMute
Flag of Mexico Geo	0.91	57-66 (-9)	2-7 (-5)	9	61%	0.58	33%	2	4	1	57%	HibanaHibana	KaidKaid
Flag of USA AnthonyMGS	0.90	56-67 (-11)	4-2 (+2)	9	62%	0.57	32%	2	1	1	46%	ThatcherThatcher	TachankaTachanka
Flag of Canada Canadian	0.90	69-75 (-6)	11-18 (-7)	9	61%	0.64	30%	0	1	0	55%	FloresFlores	MelusiMelusi
Flag of USA Ecl9pse	0.90	57-71 (-14)	7-8 (-1)	9	62%	0.53	34%	1	9	1	60%	HibanaHibana	MuteMute
Flag of USA Tomas	0.90	65-73 (-8)	12-12 (+0)	9	53%	0.73	18%	1	0	0	36%	SledgeSledge	MuteMute
Flag of Netherlands KoolAid	0.89	60-79 (-19)	11-11 (+0)	9	64%	0.61	19%	0	7	0	58%	HibanaHibana	JägerJäger
Flag of USA Goddess	0.89	6-11 (-5)	0-0 (+0)	1	83%	0.50	8%	0	2	0	50%	HibanaHibana	JägerJäger
Flag of USA Marmalade	0.88	49-67 (-18)	3-8 (-5)	9	61%	0.55	25%	1	12	1	46%	AceAce	SmokeSmoke
Flag of Canada P3NGU1N	0.84	60-80 (-20)	12-14 (-2)	9	55%	0.61	18%	0	3	0	43%	NomadNomad	SmokeSmoke
Flag of USA Bosco	0.83	44-69 (-25)	6-9 (-3)	9	62%	0.43	33%	1	8	0	43%	ThermiteThermite	SmokeSmoke
Flag of USA Slashug	0.81	55-75 (-20)	5-10 (-5)	9	59%	0.56	23%	2	1	0	59%	ZofiaZofia	MaestroMaestro
Flag of USA Melted	0.80	52-69 (-17)	8-8 (+0)	9	55%	0.58	22%	1	1	0	56%	IanaIana	SmokeSmoke
Flag of USA Benjimoola	0.74	48-76 (-28)	9-8 (+1)	9	56%	0.54	15%	0	1	0	59%	ZofiaZofia	WamaiWamai
Flag of USA Beaulo	0.72	53-81 (-28)	7-19 (-12)	9	48%	0.54	17%	0	1	1	69%	FinkaFinka	WamaiWamai
Flag of USA Guerra	0.69	13-22 (-9)	1-2 (-1)	3	55%	0.42	29%	0	0	0	23%	BlitzBlitz	ElaEla
Flag of USA Supr	0.64	28-72 (-44)	6-11 (-5)	9	54%	0.31	19%	1	7	0	38%	AceAce	SmokeSmoke
