Rating	K-D (+/-)	Entry (+/-)	Maps	KOST	KPR	SRV	1vX	Plants	Disable	HS%	Atk	Def
Flag of USA Nuers	1.27	111-71 (+40)	23-22 (+1)	9	69%	1.03	34%	1	1	0	57%	FinkaFinka	AzamiAzami
Flag of USA Gryxr	1.21	100-66 (+34)	8-8 (+0)	9	70%	0.91	40%	1	2	0	50%	FinkaFinka	AlibiAlibi
Flag of USA Gunnar	1.19	102-76 (+26)	28-18 (+10)	9	68%	0.94	30%	1	0	0	52%	FinkaFinka	AlibiAlibi
Flag of USA Yoggah	1.15	92-71 (+21)	15-12 (+3)	9	67%	0.87	33%	2	0	1	72%	SledgeSledge	ValkyrieValkyrie
Flag of USA Surf	1.13	84-71 (+13)	8-12 (-4)	9	67%	0.82	30%	5	0	2	59%	SledgeSledge	MuteMute
Flag of USA Kanzen	1.12	86-71 (+15)	8-13 (-5)	9	65%	0.78	35%	4	1	0	57%	SledgeSledge	SmokeSmoke
Flag of USA Panbazou	1.11	76-64 (+12)	19-11 (+8)	9	67%	0.83	30%	2	1	0	57%	FinkaFinka	WamaiWamai
Flag of Canada FoxA	1.11	90-74 (+16)	8-5 (+3)	9	72%	0.83	31%	0	0	0	43%	SledgeSledge	MuteMute
Flag of USA Sweater	1.10	97-75 (+22)	17-21 (-4)	9	59%	0.95	26%	0	0	0	56%	FinkaFinka	AlibiAlibi
Flag of Brazil DiasLucas	1.08	73-58 (+15)	3-4 (-1)	9	70%	0.69	45%	1	3	0	47%	LionLion	MuteMute
Flag of Mexico Geo	1.08	69-57 (+12)	6-4 (+2)	8	69%	0.73	40%	3	2	1	39%	AceAce	AruniAruni
Flag of USA Merc	1.08	88-77 (+11)	16-13 (+3)	9	69%	0.84	27%	0	0	0	74%	FinkaFinka	OryxOryx
Flag of USA njr	1.07	71-64 (+7)	8-5 (+3)	9	64%	0.77	30%	3	1	1	61%	SledgeSledge	SmokeSmoke
Flag of France BlaZ	1.07	84-76 (+8)	7-8 (-1)	9	72%	0.78	30%	1	0	1	52%	FinkaFinka	AlibiAlibi
Flag of USA LaXInG	1.07	78-66 (+12)	8-9 (-1)	9	69%	0.72	39%	1	1	0	41%	NomadNomad	KaidKaid
Flag of USA Rexen	1.06	85-75 (+10)	20-11 (+9)	9	69%	0.77	32%	0	1	0	55%	TwitchTwitch	AlibiAlibi
Flag of USA Forrest	1.06	86-82 (+4)	15-9 (+6)	9	65%	0.81	23%	0	7	0	44%	AceAce	MelusiMelusi
Flag of Netherlands KoolAid	1.06	74-67 (+7)	5-5 (+0)	9	67%	0.69	38%	2	10	0	55%	HibanaHibana	SmokeSmoke
Flag of USA Beaulo	1.06	85-76 (+9)	14-12 (+2)	9	62%	0.81	28%	2	0	2	65%	FloresFlores	AlibiAlibi
Flag of USA Iconic	1.05	83-73 (+10)	19-14 (+5)	9	58%	0.78	31%	2	1	0	51%	FinkaFinka	AzamiAzami
Flag of USA J9O	1.05	84-74 (+10)	10-8 (+2)	9	69%	0.79	30%	0	0	1	54%	ZofiaZofia	AlibiAlibi
Flag of Brazil GMZ	1.05	84-75 (+9)	16-17 (-1)	9	64%	0.79	29%	0	2	0	52%	FinkaFinka	MuteMute
